"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar a la Pagina de CODEBUSTER","El usuario abre la Pagina de CODEBUSTER correctamente","SUCCESS","2024-03-13T17:24:23.6539971-05:00[America/Bogota]","0.0","12.12"
"Inicio de Sesion en la Pagina de CODEBUSTER","El usuario registrado inicia sesion exitosamente en la Pagina de CODEBUSTER","SUCCESS","2024-03-13T17:24:35.8046841-05:00[America/Bogota]","0.0","38.51"
"Inicio de Sesion en la Pagina de CODEBUSTER","Login Fallido por contraseña incorrecta en la Pagina de CODEBUSTER","SUCCESS","2024-03-13T17:25:14.3273229-05:00[America/Bogota]","0.0","13.56"
"Registro en la Pagina de CODEBUSTER","El usuario se registra exitosamente en la Pagina de CODEBUSTER","ERROR","2024-03-13T17:25:27.9011762-05:00[America/Bogota]","0.0","17.05"
